,dataset,variable_name,shape
0,WRFOUT,Times,()
1,WRFOUT,XLAT,"(702, 558)"
2,WRFOUT,XLONG,"(702, 558)"
3,WRFOUT,LU_INDEX,"(702, 558)"
4,WRFOUT,ZNU,"(50,)"
5,WRFOUT,ZNW,"(51,)"
6,WRFOUT,ZS,"(4,)"
7,WRFOUT,DZS,"(4,)"
8,WRFOUT,VAR_SSO,"(702, 558)"
9,WRFOUT,BATHYMETRY_FLAG,()
10,WRFOUT,U,"(50, 702, 559)"
11,WRFOUT,V,"(50, 703, 558)"
12,WRFOUT,W,"(51, 702, 558)"
13,WRFOUT,PH,"(51, 702, 558)"
14,WRFOUT,PHB,"(51, 702, 558)"
15,WRFOUT,T,"(50, 702, 558)"
16,WRFOUT,THM,"(50, 702, 558)"
17,WRFOUT,HFX_FORCE,()
18,WRFOUT,LH_FORCE,()
19,WRFOUT,TSK_FORCE,()
20,WRFOUT,HFX_FORCE_TEND,()
21,WRFOUT,LH_FORCE_TEND,()
22,WRFOUT,TSK_FORCE_TEND,()
23,WRFOUT,MU,"(702, 558)"
24,WRFOUT,MUB,"(702, 558)"
25,WRFOUT,NEST_POS,"(702, 558)"
26,WRFOUT,P,"(50, 702, 558)"
27,WRFOUT,PB,"(50, 702, 558)"
28,WRFOUT,FNM,"(50,)"
29,WRFOUT,FNP,"(50,)"
30,WRFOUT,RDNW,"(50,)"
31,WRFOUT,RDN,"(50,)"
32,WRFOUT,DNW,"(50,)"
33,WRFOUT,DN,"(50,)"
34,WRFOUT,CFN,()
35,WRFOUT,CFN1,()
36,WRFOUT,THIS_IS_AN_IDEAL_RUN,()
37,WRFOUT,P_HYD,"(50, 702, 558)"
38,WRFOUT,Q2,"(702, 558)"
39,WRFOUT,T2,"(702, 558)"
40,WRFOUT,TH2,"(702, 558)"
41,WRFOUT,PSFC,"(702, 558)"
42,WRFOUT,U10,"(702, 558)"
43,WRFOUT,V10,"(702, 558)"
44,WRFOUT,RDX,()
45,WRFOUT,RDY,()
46,WRFOUT,AREA2D,"(702, 558)"
47,WRFOUT,DX2D,"(702, 558)"
48,WRFOUT,RESM,()
49,WRFOUT,ZETATOP,()
50,WRFOUT,CF1,()
51,WRFOUT,CF2,()
52,WRFOUT,CF3,()
53,WRFOUT,ITIMESTEP,()
54,WRFOUT,XTIME,()
55,WRFOUT,QVAPOR,"(50, 702, 558)"
56,WRFOUT,QCLOUD,"(50, 702, 558)"
57,WRFOUT,QRAIN,"(50, 702, 558)"
58,WRFOUT,QICE,"(50, 702, 558)"
59,WRFOUT,QSNOW,"(50, 702, 558)"
60,WRFOUT,QGRAUP,"(50, 702, 558)"
61,WRFOUT,SHDMAX,"(702, 558)"
62,WRFOUT,SHDMIN,"(702, 558)"
63,WRFOUT,SNOALB,"(702, 558)"
64,WRFOUT,TSLB,"(4, 702, 558)"
65,WRFOUT,SMOIS,"(4, 702, 558)"
66,WRFOUT,SH2O,"(4, 702, 558)"
67,WRFOUT,SMCREL,"(4, 702, 558)"
68,WRFOUT,SEAICE,"(702, 558)"
69,WRFOUT,XICEM,"(702, 558)"
70,WRFOUT,SFROFF,"(702, 558)"
71,WRFOUT,UDROFF,"(702, 558)"
72,WRFOUT,IVGTYP,"(702, 558)"
73,WRFOUT,ISLTYP,"(702, 558)"
74,WRFOUT,VEGFRA,"(702, 558)"
75,WRFOUT,ACGRDFLX,"(702, 558)"
76,WRFOUT,ACSNOM,"(702, 558)"
77,WRFOUT,CANWAT,"(702, 558)"
78,WRFOUT,SSTSK,"(702, 558)"
79,WRFOUT,WATER_DEPTH,"(702, 558)"
80,WRFOUT,COSZEN,"(702, 558)"
81,WRFOUT,LAI,"(702, 558)"
82,WRFOUT,VAR,"(702, 558)"
83,WRFOUT,VARLS,"(702, 558)"
84,WRFOUT,CONLS,"(702, 558)"
85,WRFOUT,OA1LS,"(702, 558)"
86,WRFOUT,OA2LS,"(702, 558)"
87,WRFOUT,OA3LS,"(702, 558)"
88,WRFOUT,OA4LS,"(702, 558)"
89,WRFOUT,OL1LS,"(702, 558)"
90,WRFOUT,OL2LS,"(702, 558)"
91,WRFOUT,OL3LS,"(702, 558)"
92,WRFOUT,OL4LS,"(702, 558)"
93,WRFOUT,VARSS,"(702, 558)"
94,WRFOUT,CONSS,"(702, 558)"
95,WRFOUT,OA1SS,"(702, 558)"
96,WRFOUT,OA2SS,"(702, 558)"
97,WRFOUT,OA3SS,"(702, 558)"
98,WRFOUT,OA4SS,"(702, 558)"
99,WRFOUT,OL1SS,"(702, 558)"
100,WRFOUT,OL2SS,"(702, 558)"
101,WRFOUT,OL3SS,"(702, 558)"
102,WRFOUT,OL4SS,"(702, 558)"
103,WRFOUT,MAPFAC_M,"(702, 558)"
104,WRFOUT,MAPFAC_U,"(702, 559)"
